% N density lambda LLtest TP FP
200 0.12 200.000000  0.000000 0.380098 0.201752
200 0.12 150.000000  0.000000 0.420881 0.222504
200 0.12 100.000000  0.000000 0.486134 0.252248
200 0.12 50.000000  0.000000 0.567700 0.303205
200 0.12 40.000000  0.000000 0.590538 0.317270
200 0.12 30.000000  0.000000 0.637847 0.340327
200 0.12 20.000000  0.000000 0.699837 0.369610
200 0.12 10.000000  0.000000 0.787928 0.425179
200 0.12 5.000000  0.000000 0.830343 0.465299
200 0.12 1.000000  0.000000 0.867863 0.517178
200 0.13 500.000000  0.000000 0.188650 0.142392
200 0.13 450.000000  0.000000 0.207055 0.153792
200 0.13 400.000000  0.000000 0.230061 0.161703
200 0.13 350.000000  0.000000 0.239264 0.169614
200 0.13 300.000000  0.000000 0.257669 0.178222
200 0.13 250.000000  0.000000 0.282209 0.189390
200 0.13 200.000000  0.000000 0.294479 0.198930
200 0.13 150.000000  0.000000 0.315951 0.216612
200 0.13 100.000000  0.000000 0.366564 0.238018
200 0.13 50.000000  0.000000 0.434049 0.281759
200 0.13 40.000000  0.000000 0.444785 0.291996
200 0.13 30.000000  0.000000 0.472393 0.308748
200 0.13 20.000000  0.000000 0.512270 0.328758
200 0.13 10.000000  0.000000 0.569018 0.364123
200 0.13 5.000000  0.000000 0.595092 0.390879
200 0.13 1.000000  0.000000 0.630368 0.424849
200 0.14 500.000000  0.000000 0.194805 0.104534
200 0.14 450.000000  0.000000 0.210678 0.117219
200 0.14 400.000000  0.000000 0.217893 0.123561
200 0.14 350.000000  0.000000 0.232323 0.134132
200 0.14 300.000000  0.000000 0.261183 0.141649
200 0.14 250.000000  0.000000 0.275613 0.150106
200 0.14 200.000000  0.000000 0.292929 0.164670
200 0.14 150.000000  0.000000 0.334776 0.183228
200 0.14 100.000000  0.000000 0.373737 0.213766
200 0.14 50.000000  0.000000 0.464646 0.268969
200 0.14 40.000000  0.000000 0.499278 0.282593
200 0.14 30.000000  0.000000 0.532468 0.300446
200 0.14 20.000000  0.000000 0.597403 0.337092
200 0.14 10.000000  0.000000 0.675325 0.385483
200 0.14 5.000000  0.000000 0.714286 0.430350
200 0.14 1.000000  0.000000 0.747475 0.498708
200 0.13 500.000000  0.000000 0.197138 0.107151
200 0.13 450.000000  0.000000 0.205087 0.113631
200 0.13 400.000000  0.000000 0.219396 0.121268
200 0.13 350.000000  0.000000 0.243243 0.128905
200 0.13 300.000000  0.000000 0.262321 0.138857
