% N density b b_old lambda LLtest TP FP
100 0.05 10.234762 10.234762 0.097706 0.000000 0.953125 0.960588
100 0.05 10.668421 10.668421 0.093735 0.000000 0.961240 0.952899
100 0.21 10.567733 10.567733 0.094628 0.000000 0.960728 0.955453
100 0.21 12.201532 12.201532 0.081957 0.000000 0.970392 0.958493
100 0.21 9.133041 9.133041 0.109493 0.000000 0.967464 0.949552
100 0.21 9.971946 9.971946 0.100281 0.000000 0.946257 0.951382
100 0.21 8.780806 8.780806 0.113885 0.000000 0.955981 0.949040
100 0.21 8.707213 8.707213 0.114847 0.000000 0.946360 0.946237
100 0.21 9.120998 9.120998 0.109637 0.000000 0.954155 0.942864
100 0.21 9.834818 9.834818 0.101680 0.000000 0.969378 0.951344
100 0.21 10.181109 10.181109 0.098221 0.000000 0.952015 0.950614
100 0.21 8.769641 8.769641 0.114030 0.000000 0.948325 0.941613
100 0.21 7.516560 7.516560 0.133040 0.000000 0.932950 0.935996
100 0.21 9.704337 9.704337 0.103047 0.000000 0.950334 0.948757
100 0.21 9.625198 9.625198 0.103894 0.000000 0.954067 0.951088
100 0.21 8.899867 8.899867 0.112361 0.000000 0.949136 0.945496
100 0.21 9.581741 9.581741 0.104365 0.000000 0.966507 0.949808
100 0.21 8.599778 8.599778 0.116282 0.000000 0.948276 0.945981
100 0.21 8.469267 8.469267 0.118074 0.000000 0.945559 0.944146
100 0.21 9.164262 9.164262 0.109120 0.000000 0.952153 0.955698
100 0.21 9.900500 9.900500 0.101005 0.000000 0.957774 0.948823
100 0.21 11.709972 11.709972 0.085397 0.000000 0.952153 0.954930
100 0.21 11.271488 11.271488 0.088719 0.000000 0.961686 0.959805
100 0.21 11.790885 11.790885 0.084811 0.000000 0.966571 0.958237
100 0.21 10.717311 10.717311 0.093307 0.000000 0.955981 0.952625
100 0.21 10.079314 10.079314 0.099213 0.000000 0.950096 0.948311
100 0.21 9.762636 9.762636 0.102431 0.000000 0.953110 0.947247
100 0.31 11.953918 11.953918 0.083655 0.000000 0.953826 0.961852
100 0.31 11.008323 11.008323 0.090840 0.000000 0.954515 0.958928
100 0.31 9.146228 9.146228 0.109335 0.000000 0.954098 0.944526
100 0.31 10.383892 10.383892 0.096303 0.000000 0.962475 0.956572
100 0.31 10.772034 10.772034 0.092833 0.000000 0.958995 0.954334
100 0.31 8.317216 8.317216 0.120233 0.000000 0.951847 0.942341
100 0.31 10.381095 10.381095 0.096329 0.000000 0.955175 0.954559
100 0.31 11.002542 11.002542 0.090888 0.000000 0.948197 0.952993
100 0.31 8.861936 8.861936 0.112842 0.000000 0.934167 0.944623
100 0.31 10.325065 10.325065 0.096852 0.000000 0.965608 0.948226
100 0.31 8.182717 8.182717 0.122209 0.000000 0.956464 0.942050
100 0.31 9.575684 9.575684 0.104431 0.000000 0.953856 0.946694
100 0.31 8.811534 8.811534 0.113488 0.000000 0.957377 0.946861
100 0.31 10.485767 10.485767 0.095367 0.000000 0.960500 0.952492
100 0.31 9.087506 9.087506 0.110041 0.000000 0.948413 0.945026
100 0.31 10.900348 10.900348 0.091740 0.000000 0.962401 0.949621
100 0.31 9.482321 9.482321 0.105459 0.000000 0.957811 0.950772
100 0.31 10.242553 10.242553 0.097632 0.000000 0.957377 0.950657
100 0.31 7.761655 7.761655 0.128839 0.000000 0.947992 0.941999
100 0.31 10.384768 10.384768 0.096295 0.000000 0.957011 0.949389
100 0.31 7.375398 7.375398 0.135586 0.000000 0.943931 0.932149
100 0.31 8.855400 8.855400 0.112925 0.000000 0.955834 0.944364
100 0.31 10.025852 10.025852 0.099742 0.000000 0.958033 0.952117
100 0.31 11.275096 11.275096 0.088691 0.000000 0.959842 0.956572
100 0.31 9.537459 9.537459 0.104850 0.000000 0.944444 0.952298
200 0.05 0.196216 0.196216 5.096422 0.000000 0.532819 0.359625
200 0.05 0.171994 0.171994 5.814158 0.000000 0.472868 0.310955
200 0.05 0.179550 0.179550 5.569488 0.000000 0.459144 0.311102
200 0.05 0.175014 0.175014 5.713829 0.000000 0.511719 0.314231
200 0.05 0.171198 0.171198 5.841195 0.000000 0.480620 0.292839
200 0.05 0.176258 0.176258 5.673505 0.000000 0.467181 0.309103
200 0.05 0.187251 0.187251 5.340417 0.000000 0.484496 0.332055
200 0.05 0.180124 0.180124 5.551721 0.000000 0.490272 0.326017
200 0.05 0.187828 0.187828 5.324006 0.000000 0.500000 0.340648
