%n density lambda lse TP FP 
%n density lambda lse TP FP 
500 0.3138 0.1 1.210161 0.9973667 0.9912562
500 0.3138 0.1 1.135364 0.9947334 0.9918391
500 0.3128 0.1 1.132891 0.9966975 0.992433
500 0.3128 0.1 1.163169 0.9953765 0.9941793
500 0.3128 0.1 1.183984 0.996037 0.9933062
500 0.3128 0.1 1.112279 0.9980185 0.9906868
500 0.3128 0.1 1.160765 0.9914135 0.992433
500 0.3138 0.1 1.192103 0.99605 0.9889245
500 0.3138 0.1 1.122501 0.9953917 0.9932964
500 0.3138 0.1 1.150244 0.994075 0.9931507
500 0.3138 0.1 1.127074 0.9934167 0.9932964
500 0.3138 0.1 1.183824 0.9947334 0.9927135
%n density lambda lse TP FP 
1000 0.0614 0.1 1.108866 1 0.9940337
1000 0.0614 0.1 1.094239 1 0.9931813
1000 0.0614 0.1 1.100147 1 0.9944598
1000 0.0614 0.1 1.102398 1 0.994886
1000 0.0614 0.1 1.098798 0.996109 0.9957383
1000 0.0612 0.1 1.128751 0.9960938 0.994248
1000 0.0612 0.1 1.063029 1 0.994035
1000 0.0612 0.1 1.083160 1 0.9933958
1000 0.0612 0.1 1.1193 0.9960938 0.9963784
1000 0.0612 0.1 1.102648 0.9960938 0.994674
1000 0.0616 0.1 1.084284 1 0.9919011
1000 0.0616 0.1 1.095639 0.996124 0.9957374
1000 0.0616 0.1 1.088971 0.996124 0.9961637
1000 0.0616 0.1 1.095130 1 0.9942455
1000 0.0616 0.1 1.079959 1 0.9925405
1000 0.0614 0.1 1.096812 1 0.9953122
1000 0.0614 0.1 1.040034 0.996109 0.9931813
1000 0.0614 0.1 1.110499 0.9922179 0.9936075
1000 0.0614 0.1 1.099596 0.996109 0.9953122
1000 0.0614 0.1 1.078353 1 0.9942468
1000 0.0618 0.1 1.097216 0.996139 0.9948838
1000 0.0618 0.1 1.111179 0.996139 0.995097
1000 0.0618 0.1 1.118990 1 0.9948838
1000 0.0618 0.1 1.120324 1 0.9931784
1000 0.0618 0.1 1.097395 1 0.9968024
%n density lambda lse TP FP 
1000 0.2188 0.1 1.032667 0.9961686 0.9938556
1000 0.2188 0.1 1.082812 0.9980843 0.9939836
1000 0.2188 0.1 1.053773 0.9980843 0.9948797
1000 0.2188 0.1 1.063909 0.9990421 0.9953917
1000 0.2188 0.1 1.092376 0.9980843 0.9938556
1000 0.2196 0.1 1.088885 0.9990458 0.9930805
1000 0.2196 0.1 1.074648 0.9990458 0.9948744
1000 0.2196 0.1 1.068124 0.9990458 0.9948744
1000 0.2196 0.1 1.057580 0.9990458 0.9946181
