%n density lambda lse TP FP 
%n density lambda lse TP FP 
50 0.3138 0.1 1.982116 0.7939434 0.7987467
50 0.3138 0.1 1.979217 0.8222515 0.7859225
%n density lambda lse TP FP 
500 0.0614 0.1 1.224436 0.996109 0.9906243
500 0.0614 0.1 1.279360 1 0.9929683
500 0.0614 0.1 1.230440 0.9922179 0.992542
500 0.0614 0.1 1.260667 0.9922179 0.992542
500 0.0614 0.1 1.200326 0.996109 0.989772
500 0.0612 0.1 1.208878 0.9882812 0.9925437
500 0.0612 0.1 1.189351 0.9960938 0.994248
500 0.0612 0.1 1.252792 0.9882812 0.9919046
500 0.0612 0.1 1.256826 1 0.9925437
500 0.0612 0.1 1.244775 0.9960938 0.9906263
500 0.0616 0.1 1.220056 0.992248 0.9927536
500 0.0616 0.1 1.199382 1 0.9893436
500 0.0616 0.1 1.230608 1 0.993393
500 0.0616 0.1 1.240807 0.9844961 0.9931799
500 0.0616 0.1 1.250394 1 0.9921142
500 0.0614 0.1 1.25633 0.9922179 0.9916898
500 0.0614 0.1 1.235271 1 0.992329
500 0.0614 0.1 1.226111 0.9922179 0.989772
500 0.0614 0.1 1.199017 0.9922179 0.9929683
500 0.0614 0.1 1.265933 1 0.9936075
500 0.0618 0.1 1.214953 1 0.9931784
500 0.0618 0.1 1.232394 0.992278 0.9910467
500 0.0618 0.1 1.287837 0.996139 0.9918994
500 0.0618 0.1 1.202814 0.996139 0.9904072
500 0.0618 0.1 1.264239 0.992278 0.9899808
%n density lambda lse TP FP 
500 0.2188 0.1 1.204773 0.993295 0.9948797
500 0.2188 0.1 1.197858 0.9961686 0.9935996
500 0.2188 0.1 1.159179 0.9980843 0.9933436
500 0.2188 0.1 1.193226 0.9961686 0.9925755
500 0.2188 0.1 1.252573 0.9990421 0.9923195
500 0.2196 0.1 1.155120 0.9961832 0.9920554
500 0.2196 0.1 1.168988 0.9961832 0.9912865
500 0.2196 0.1 1.135236 0.9961832 0.9930805
500 0.2196 0.1 1.206697 0.9923664 0.9920554
500 0.2196 0.1 1.135720 0.995229 0.9906458
500 0.219 0.1 1.188177 0.9980861 0.993982
500 0.219 0.1 1.186762 0.9971292 0.9923175
500 0.219 0.1 1.190690 0.9933014 0.9910371
500 0.219 0.1 1.166763 0.9885167 0.9920615
500 0.219 0.1 1.175556 0.9942584 0.9897567
500 0.2182 0.1 1.199667 0.9971182 0.9920696
500 0.2182 0.1 1.232009 0.9932757 0.991558
500 0.2182 0.1 1.246201 0.9932757 0.9925812
500 0.2182 0.1 1.184741 0.9980788 0.9889997
500 0.2182 0.1 1.120318 0.9961575 0.9923254
500 0.2194 0.1 1.182213 0.9933142 0.9905201
500 0.2194 0.1 1.179520 0.991404 0.9918012
500 0.2194 0.1 1.174883 0.9961796 0.9923136
500 0.2194 0.1 1.256274 0.9942693 0.991545
500 0.2194 0.1 1.206477 0.9961796 0.9918012
%n density lambda lse TP FP 
500 0.3138 0.1 1.204840 0.9921 0.993005
500 0.3138 0.1 1.173263 0.994075 0.9903818
500 0.3138 0.1 1.155004 0.9953917 0.9906733
