%n density  glcalls lse TP FP 
30 0.2192 11 1.22119 0.3135755 0.2920082
30 0.2192 10 1.238674 0.3173996 0.2978996
30 0.2192 10 1.242950 0.2992352 0.3025102
30 0.2192 12 1.284672 0.3154876 0.289959
30 0.2192 11 1.244796 0.3269598 0.2927766
30 0.2192 7 1.249751 0.3298279 0.3081455
30 0.2192 11 1.215345 0.3087954 0.2897029
30 0.2192 11 1.268344 0.3250478 0.3002049
30 0.2192 13 1.233550 0.3355641 0.3077613
30 0.2192 12 1.241839 0.3231358 0.2792008
30 0.3138 7 1.220156 0.3146807 0.300204
30 0.3138 12 1.22252 0.3146807 0.3063247
30 0.3138 10 1.287811 0.3291639 0.2968522
30 0.3138 11 1.297132 0.3100724 0.2984553
30 0.3138 10 1.280996 0.3518762 0.3045759
30 0.3138 8 1.243848 0.3271889 0.2945205
30 0.3138 7 1.234563 0.3206057 0.3018071
30 0.3138 11 1.233264 0.3215932 0.2846109
30 0.3138 11 1.317837 0.3462804 0.3025357
30 0.3138 10 1.212611 0.2942725 0.2818420
30 0.3146 8 1.285506 0.3637557 0.3142690
30 0.3146 6 1.277953 0.3532502 0.3101838
30 0.3146 7 1.239469 0.3230466 0.3142690
30 0.3146 7 1.243593 0.3177938 0.3046396
30 0.3146 11 1.267161 0.3217334 0.2882988
30 0.3146 10 1.211606 0.3365069 0.3157280
30 0.3146 11 1.256564 0.3282994 0.2900496
30 0.3146 7 1.277148 0.3342088 0.3202509
30 0.3146 11 1.257112 0.3437295 0.3131018
30 0.3146 11 1.301319 0.3230466 0.3058068
30 0.3138 6 1.241899 0.3311389 0.2987467
30 0.3138 7 1.226538 0.3311389 0.2933547
30 0.3138 10 1.235309 0.3252140 0.2706208
30 0.3138 12 1.222641 0.3429888 0.3013699
30 0.3138 7 1.236611 0.3133641 0.3013699
30 0.3138 12 1.245240 0.3179724 0.2949577
30 0.3138 8 1.223987 0.2975642 0.2811134
30 0.3138 7 1.247341 0.3568137 0.3037015
30 0.3138 10 1.269726 0.3298223 0.3000583
30 0.3138 14 1.217659 0.3146807 0.2940834
30 0.3128 8 1.248716 0.3190225 0.3032596
30 0.3128 14 1.214342 0.3203435 0.3099534
30 0.3128 12 1.239307 0.330251 0.2866705
30 0.3128 12 1.267123 0.2978864 0.2991851
30 0.3128 12 1.228533 0.3025099 0.2927823
30 0.3128 10 1.224346 0.3157199 0.2952561
30 0.3128 12 1.284100 0.3454425 0.3061700
30 0.3128 10 1.219611 0.323646 0.2753201
30 0.3128 9 1.252739 0.3256275 0.2974389
30 0.3128 12 1.226180 0.3018494 0.3066065
30 0.3138 13 1.269144 0.3294931 0.2964150
30 0.3138 10 1.241854 0.3120474 0.3071991
30 0.3138 10 1.250991 0.321264 0.3050131
30 0.3138 11 1.228813 0.3186307 0.2964150
30 0.3138 13 1.286558 0.339368 0.2882542
30 0.3138 12 1.217991 0.3443055 0.3098222
30 0.3138 8 1.261541 0.3120474 0.3071991
30 0.3138 7 1.227202 0.3166557 0.2987467
30 0.3138 7 1.249629 0.3262014 0.3099679
30 0.3138 10 1.268108 0.3238973 0.2818420
30 0.313 10 1.263865 0.3234323 0.3052402
30 0.313 11 1.224012 0.3135314 0.2992722
30 0.313 10 1.238998 0.3161716 0.3007278
30 0.313 10 1.270751 0.3141914 0.3085881
30 0.313 10 1.255037 0.3478548 0.2921397
30 0.313 10 1.256493 0.3115512 0.2935953
30 0.313 12 1.256387 0.3194719 0.2972344
30 0.313 12 1.245408 0.3412541 0.2914119
30 0.313 7 1.278388 0.3095710 0.2998544
30 0.313 10 1.275870 0.3227723 0.305968
30 0.3138 11 1.220178 0.3113891 0.2911688
30 0.3138 11 1.255673 0.317314 0.3121539
30 0.3138 11 1.270470 0.2837393 0.300204
30 0.3138 10 1.213795 0.3271889 0.311571
30 0.3138 12 1.212755 0.3041475 0.2866511
30 0.3138 10 1.226040 0.3225806 0.2853396
30 0.3138 11 1.223923 0.3034891 0.3150685
30 0.3138 11 1.209067 0.3462804 0.300204
30 0.3138 13 1.270175 0.3222515 0.2975809
30 0.3138 10 1.29047 0.3344305 0.291023
30 0.3146 10 1.276719 0.325673 0.2944266
30 0.3146 7 1.274597 0.3282994 0.3145608
30 0.3146 12 1.254796 0.3532502 0.3066822
30 0.3146 12 1.248509 0.3506238 0.3090166
30 0.3146 12 1.249411 0.3138542 0.2969069
30 0.3146 12 1.265901 0.3168089 0.2947184
30 0.3146 7 1.229489 0.3079448 0.2999708
30 0.3146 13 1.268393 0.3197636 0.2932594
30 0.3146 12 1.230312 0.3040053 0.2842136
30 0.3146 10 1.234141 0.328956 0.3131018
30 0.3128 10 1.262592 0.3143989 0.2892899
30 0.3128 11 1.212281 0.2992074 0.2936554
30 0.3128 10 1.226519 0.3256275 0.3131548
30 0.3128 10 1.212993 0.2793923 0.2956927
30 0.3128 10 1.318167 0.327609 0.3006403
30 0.3128 11 1.237892 0.3170410 0.3003492
30 0.3128 7 1.280969 0.3025099 0.2913271
30 0.3128 12 1.292545 0.3150594 0.3026775
30 0.3128 7 1.210473 0.3130779 0.2863795
30 0.3128 12 1.254492 0.3170410 0.3041327
30 0.3134 7 1.257688 0.3243243 0.291873
30 0.3134 14 1.250754 0.3295979 0.2870667
30 0.3134 7 1.259876 0.3295979 0.316924
30 0.3134 10 1.284714 0.3388266 0.3105156
