n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.0612 10000 42.92981 9892.885 1 1.065514 0.1015625 0.07285897
30 0.0612 10000 42.64933 9891.702 1 1.033884 0.09765625 0.07839795
30 0.0612 10000 42.93052 9893.358 1 1.06497 0.1289062 0.07435023
30 0.0616 10000 42.66637 9894.507 1 1.047484 0.09689922 0.07225064
30 0.0616 10000 42.61748 9892.807 1 1.057738 0.1007752 0.07502131
30 0.0616 10000 42.67928 9892.864 1 1.058207 0.1356589 0.08098892
30 0.0616 10000 42.74868 9895.076 1 1.055348 0.08527132 0.06798806
30 0.0616 10000 42.69902 9895.777 1 1.066934 0.09302326 0.0741688
30 0.0614 10000 42.94281 9895.628 1 1.045259 0.1167315 0.06158108
30 0.0614 10000 42.76748 9894.225 1 1.069429 0.1011673 0.07585766
30 0.0614 10000 42.88882 9894.886 1 1.067539 0.1089494 0.07330066
30 0.0614 10000 42.8728 9896.419 1 1.060543 0.08171206 0.07436608
30 0.0614 10000 43.13206 9894.677 1 1.040831 0.1050584 0.07734924
30 0.0618 10000 42.94385 9892.058 1 1.039531 0.0926641 0.07354509
30 0.0618 10000 42.75422 9896.176 1 1.030600 0.1158301 0.06182051
30 0.0618 10000 42.85306 9896.614 1 1.04911 0.1003861 0.06224686
30 0.0618 10000 42.54746 9891.615 1 1.056908 0.1003861 0.08121936
30 0.0618 10000 42.79808 9894.964 1 1.046609 0.0965251 0.06118098
%n density b b_old lambda lse TP FP 
30 0.2188 1 42.64984 93.84577 6 1.073966 0 0
30 0.2188 1 42.94450 93.85848 6 1.034883 0 0
30 0.2188 1 42.80612 93.85668 6 1.046569 0 0
30 0.2188 1 42.90213 93.85436 6 1.066626 0 0
30 0.2188 1 42.83572 93.86566 9 1.040927 0 0
30 0.2196 1 42.68391 93.88376 6 1.053433 0 0
30 0.2196 1 42.82806 93.85376 6 1.073613 0 0
30 0.2196 1 42.70054 93.81122 6 1.057803 0 0
30 0.2196 1 42.83501 93.87585 6 1.057455 0 0
30 0.2196 1 42.66313 93.86302 6 1.044955 0 0
30 0.219 1 42.81242 93.8445 6 1.06779 0 0
30 0.219 1 42.70849 93.83375 6 1.039632 0 0
30 0.219 1 42.84372 93.8082 6 1.079575 0 0
30 0.219 1 42.94139 93.84686 6 1.050688 0 0
30 0.219 1 42.94343 93.85697 6 1.065326 0 0
30 0.2182 1 42.73306 93.85994 6 1.066574 0 0
30 0.2182 1 42.78455 93.84893 6 1.053214 0 0
30 0.2182 1 42.77803 93.86235 6 1.060791 0 0
30 0.2182 1 42.86089 93.88756 6 1.055957 0 0
30 0.2182 1 42.80438 93.83014 6 1.096631 0 0
30 0.2194 1 42.54959 93.9076 6 1.059476 0 0
30 0.2194 1 42.63473 93.85881 6 1.068836 0 0
30 0.2194 1 42.88216 93.82892 6 1.035375 0 0
30 0.2194 1 42.83726 93.81134 6 1.053553 0 0
30 0.2194 1 42.80834 93.85455 6 1.052798 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 10 42.52368 98.44108 6 1.048156 0 0
30 0.2188 10 42.57826 98.42736 6 1.080030 0 0
30 0.2188 10 42.93826 98.44686 6 1.051903 0 0
30 0.2188 10 42.79376 98.43012 8 1.050891 0 0
30 0.2188 10 42.74313 98.46968 6 1.050876 0 0
30 0.2196 10 42.70123 98.46497 6 1.066247 0 0
30 0.2196 10 42.89112 98.48158 6 1.040679 0 0
30 0.2196 10 42.84847 98.49432 6 1.042668 0 0
30 0.2196 10 42.88498 98.44894 6 1.076370 0 0
30 0.2196 10 42.64745 98.4284 6 1.064220 0 0
30 0.219 10 42.64043 98.42911 6 1.077417 0 0
30 0.219 10 43.06317 98.43984 6 1.073391 0 0
30 0.219 10 42.62555 98.46462 8 1.057428 0 0
30 0.219 10 42.95544 98.45052 6 1.040931 0 0
30 0.219 10 43.00375 98.39077 6 1.051587 0 0
30 0.2182 10 42.85170 98.46936 8 1.065517 0 0
30 0.2182 10 43.05032 98.4426 6 1.043336 0 0
30 0.2182 10 42.4792 98.45088 6 1.065655 0 0
30 0.2182 10 42.75807 98.44194 6 1.085323 0 0
30 0.2182 10 42.76232 98.46506 6 1.047058 0 0
30 0.2194 10 42.67844 98.44978 6 1.058203 0 0
30 0.2194 10 42.80199 98.41958 6 1.055789 0 0
30 0.2194 10 42.55088 98.43353 6 1.077659 0 0
30 0.2194 10 42.76881 98.4825 8 1.051480 0 0
30 0.2194 10 43.0282 98.4523 6 1.088975 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 100 42.69246 155.5308 6 1.045127 0 0
30 0.2188 100 42.92922 155.5299 5 1.057790 0 0
30 0.2188 100 42.93385 155.539 6 1.085193 0 0
30 0.2188 100 42.59505 155.5204 6 1.060750 0 0
30 0.2188 100 42.90738 155.5330 6 1.034393 0 0
30 0.2196 100 42.46739 155.4931 8 1.051841 0 0
30 0.2196 100 42.8994 155.5672 6 1.061391 0 0
30 0.2196 100 42.90846 155.5419 8 1.028745 0 0
