%n density  glcalls lse TP FP 
250 0.0612 12 1.015449 0 0
250 0.0616 11 1.016053 0 0
250 0.0616 11 1.039614 0 0
250 0.0616 12 1.031959 0 0
250 0.0616 12 1.004016 0 0
250 0.0616 12 1.022181 0 0
250 0.0614 12 1.043502 0 0
250 0.0614 12 1.003307 0 0
250 0.0614 11 1.006303 0 0
250 0.0614 11 1.003910 0 0
250 0.0614 11 1.022959 0 0
250 0.0618 12 1.006806 0 0
250 0.0618 12 1.038545 0 0
250 0.0618 12 1.023828 0 0
250 0.0618 12 1.020141 0 0
250 0.0618 12 1.053928 0 0
250 0.2188 11 1.038157 0 0
250 0.2188 11 1.049997 0 0
250 0.2188 11 1.079176 0 0
250 0.2188 11 1.070347 0 0
250 0.2188 11 1.054008 0 0
250 0.2196 11 1.078601 0 0
250 0.2196 11 1.075999 0 0
250 0.2196 11 1.041046 0 0
250 0.2196 11 1.056331 0 0
250 0.2196 11 1.052931 0 0
250 0.219 11 1.059903 0 0
250 0.219 11 1.055789 0 0
250 0.219 11 1.059374 0 0
250 0.219 11 1.05564 0 0
250 0.219 11 1.072922 0 0
250 0.2182 11 1.064180 0 0
250 0.2182 11 1.054566 0 0
250 0.2182 11 1.083072 0 0
250 0.2182 11 1.056239 0 0
250 0.2182 11 1.081473 0 0
250 0.2194 11 1.060026 0 0
250 0.2194 11 1.063368 0 0
250 0.2194 11 1.085595 0 0
250 0.2194 11 1.075789 0 0
250 0.2194 11 1.064997 0 0
250 0.3138 11 1.055483 0 0
250 0.3138 11 1.099821 0 0
250 0.3138 11 1.096967 0 0
250 0.3138 11 1.095594 0 0
250 0.3138 11 1.106472 0 0
250 0.3146 11 1.066736 0 0
250 0.3146 11 1.088213 0 0
250 0.3146 11 1.089768 0 0
250 0.3146 11 1.092332 0 0
250 0.3146 11 1.085132 0 0
250 0.3138 11 1.080052 0 0
250 0.3138 11 1.082293 0 0
250 0.3138 11 1.090658 0 0
250 0.3138 11 1.104165 0 0
250 0.3138 11 1.082532 0 0
250 0.3128 11 1.068533 0 0
