%n density b b_old_avg lambda glcalls_avg lse TP FP 
%n density b b_old lambda lse TP FP 
30 0.0612 2000 42.63035 4.735718 6 1.092752 0.1289062 0.09693225
30 0.0612 2000 42.87664 4.729403 6 1.046824 0.140625 0.08926289
30 0.0612 2000 42.92711 4.740133 5 1.034753 0.1132812 0.08308479
30 0.0616 2000 42.70632 4.733651 5 1.032598 0.1279070 0.08908781
30 0.0616 2000 42.66288 4.733237 5 1.064387 0.1162791 0.08802217
30 0.0616 2000 42.70203 4.745056 5 1.042783 0.07751938 0.07907076
30 0.0616 2000 42.95014 4.721371 3 1.059325 0.1007752 0.0942029
30 0.0616 2000 42.55698 4.735852 6 1.057938 0.1317829 0.08589088
30 0.0614 2000 42.67937 4.729347 6 1.085347 0.1361868 0.1020669
30 0.0614 2000 42.60433 4.733804 6 1.069268 0.09727626 0.08544641
30 0.0614 2000 42.68527 4.73718 5 1.06091 0.1167315 0.08906883
30 0.0614 2000 42.44727 4.740592 6 1.044614 0.07782101 0.08395483
30 0.0614 2000 42.86005 4.73112 6 1.060069 0.1361868 0.09247816
30 0.0618 2000 42.82501 4.733906 10 1.022105 0.08494208 0.08036666
30 0.0618 2000 42.86439 4.736943 6 1.074672 0.1158301 0.08484332
30 0.0618 2000 43.07895 4.734154 5 1.078514 0.1312741 0.08804093
30 0.0618 2000 42.70666 4.73696 5 1.066579 0.0926641 0.08526967
30 0.0618 2000 42.87479 4.737861 6 1.060278 0.1351351 0.08271158
%n density b b_old lambda lse TP FP 
30 0.0614 10000 42.77366 0.9183157 11 1.345318 0.4280156 0.4563179
30 0.0614 10000 42.59903 0.9164237 9 1.350082 0.463035 0.4623908
30 0.0614 10000 42.65962 0.9173026 11 1.368384 0.4902724 0.4432133
30 0.0614 10000 42.80993 0.9177084 11 1.329036 0.5525292 0.4470488
30 0.0614 10000 42.71169 0.917009 11 1.352284 0.4980545 0.4665459
30 0.0612 10000 42.6159 0.9171632 11 1.314292 0.53125 0.4551555
30 0.0612 10000 42.50948 0.9163284 11 1.362155 0.5078125 0.4678313
30 0.0612 10000 42.72103 0.9181697 10 1.343745 0.5078125 0.4484448
30 0.0612 10000 42.59386 0.9167364 11 1.374397 0.5390625 0.4571794
30 0.0612 10000 42.8267 0.9169886 11 1.383618 0.4570312 0.4620793
30 0.0616 10000 42.73280 0.9172927 10 1.328209 0.5348837 0.4511935
30 0.0616 10000 42.79398 0.9169256 11 1.326499 0.5077519 0.4622762
30 0.0616 10000 42.84613 0.9172405 11 1.326670 0.5116279 0.4697357
30 0.0616 10000 42.67959 0.9175413 11 1.360225 0.5077519 0.4600384
30 0.0616 10000 42.8963 0.917178 11 1.338577 0.5542636 0.4741049
30 0.0614 10000 42.84122 0.9176706 11 1.329407 0.4863813 0.473258
30 0.0614 10000 43.06294 0.9183288 11 1.337935 0.4785992 0.4457703
30 0.0614 10000 42.52639 0.9178808 11 1.331369 0.4241245 0.4531217
30 0.0614 10000 42.63085 0.9170904 11 1.337292 0.5019455 0.4594076
30 0.0614 10000 42.59412 0.9169783 11 1.346922 0.4747082 0.4547198
30 0.0618 10000 42.49038 0.9166816 11 1.332027 0.4787645 0.4605628
30 0.0618 10000 42.83809 0.916521 11 1.329384 0.5096525 0.4608825
30 0.0618 10000 42.49604 0.9177264 10 1.317853 0.5057915 0.4615221
30 0.0618 10000 42.83542 0.916959 11 1.377487 0.4633205 0.4591771
30 0.0618 10000 42.66355 0.9171027 11 1.339316 0.4671815 0.4646131
%n density b b_old lambda lse TP FP 
30 0.2188 1 42.93909 8502.648 9 1.062835 0 0
30 0.2188 1 42.90409 8502.725 9 1.068161 0 0
30 0.2188 1 42.97029 8502.883 9 1.065974 0 0
30 0.2188 1 42.88501 8502.599 9 1.047826 0 0
30 0.2188 1 42.67591 8502.605 9 1.042886 0 0
30 0.2196 1 42.77326 8502.69 9 1.082125 0 0
30 0.2196 1 42.83494 8502.59 9 1.047457 0 0
30 0.2196 1 42.762 8502.506 9 1.062940 0 0
30 0.2196 1 42.44332 8502.63 9 1.075173 0 0
30 0.2196 1 42.62326 8502.486 9 1.039056 0 0
30 0.219 1 42.93854 8502.573 9 1.071302 0 0
30 0.219 1 42.80482 8502.634 9 1.052918 0 0
30 0.219 1 42.64942 8502.714 9 1.062204 0 0
30 0.219 1 42.60653 8502.57 9 1.069674 0 0
30 0.219 1 42.69263 8502.49 9 1.089003 0 0
30 0.2182 1 42.81947 8502.568 9 1.072700 0 0
30 0.2182 1 42.83168 8502.635 9 1.053585 0 0
30 0.2182 1 42.52281 8502.713 9 1.054594 0 0
30 0.2182 1 42.74041 8502.578 9 1.044111 0 0
30 0.2182 1 42.94414 8502.775 9 1.065043 0 0
30 0.2194 1 42.58118 8502.556 9 1.075959 0 0
30 0.2194 1 42.65882 8502.635 9 1.082020 0 0
30 0.2194 1 42.62187 8502.649 9 1.062552 0 0
30 0.2194 1 42.57381 8502.766 9 1.081144 0 0
30 0.2194 1 42.90955 8502.577 9 1.095782 0 0
%n density b b_old lambda lse TP FP 
30 0.2188 10 42.71949 852.7319 8 1.038588 0 0
30 0.2188 10 42.78273 852.7644 8 1.036853 0 0
30 0.2188 10 42.74378 852.6793 8 1.073694 0 0
30 0.2188 10 42.9043 852.8572 8 1.041371 0 0
30 0.2188 10 42.8863 852.7226 8 1.046894 0 0
30 0.2196 10 42.60659 852.7199 8 1.091947 0 0
30 0.2196 10 42.82842 852.7688 8 1.075044 0 0
