%n density  glcalls lse TP FP 
1000 0.2188 5 1.027788 0.5603448 0.1789555
1000 0.2196 5 1.014760 0.6078244 0.1817017
1000 0.2196 5 0.9978885 0.6097328 0.1852896
1000 0.2196 5 0.9973221 0.6259542 0.2001538
1000 0.2196 5 1.009868 0.644084 0.1883649
1000 0.2196 5 1.004876 0.6068702 0.1804203
1000 0.219 5 1.023263 0.6200957 0.1764405
1000 0.219 5 0.9945063 0.6277512 0.1974392
1000 0.219 5 0.9900822 0.6124402 0.1725992
1000 0.219 5 1.026839 0.5990431 0.187452
1000 0.219 5 0.9847839 0.6133971 0.1902689
1000 0.2182 5 0.9979798 0.6445725 0.2005628
1000 0.2182 5 0.9640157 0.6195965 0.1859811
1000 0.2182 5 1.030439 0.5994236 0.1798414
1000 0.2182 5 0.9779677 0.6320845 0.2041443
1000 0.2182 5 1.007116 0.6503362 0.2028652
1000 0.2194 5 0.9951763 0.626552 0.1821676
1000 0.2194 5 1.000544 0.6284623 0.2013836
1000 0.2194 5 0.9930408 0.6007641 0.1844735
1000 0.2194 5 1.015894 0.5807068 0.1767871
1000 0.2194 5 0.9963997 0.6542502 0.1929285
1000 0.3138 5 0.9932626 0.6194865 0.2596911
1000 0.3138 5 0.998314 0.6530612 0.2512387
1000 0.3138 5 1.009256 0.6096116 0.2372486
1000 0.3138 5 0.983653 0.6504279 0.2593996
1000 0.3138 5 0.9854217 0.6214615 0.2655203
1000 0.3146 5 0.984076 0.6152331 0.2404435
1000 0.3146 5 0.9806158 0.6283651 0.2456959
1000 0.3146 5 1.002675 0.6231123 0.2515320
1000 0.3146 5 1.003434 0.6231123 0.2652466
1000 0.3146 5 0.9961218 0.5994747 0.2357747
1000 0.3138 5 0.9868141 0.6398947 0.2500729
1000 0.3138 5 0.9881512 0.60632 0.2378315
1000 0.3138 5 0.9848896 0.6477946 0.2471583
1000 0.3138 5 0.9818704 0.6313364 0.2669776
1000 0.3138 5 0.9904063 0.636603 0.258088
1000 0.3128 5 1.014915 0.6175694 0.2543655
1000 0.3128 5 0.9772858 0.6142668 0.2470896
1000 0.3128 5 0.9901009 0.6327609 0.266007
1000 0.3128 5 1.004323 0.6188904 0.2310827
1000 0.3128 5 1.018469 0.6202114 0.2398137
1000 0.3138 5 1.017130 0.6451613 0.2458467
1000 0.3138 5 1.005709 0.6247531 0.2611484
1000 0.3138 5 1.021880 0.6234365 0.2413291
1000 0.3138 5 1.015342 0.6155365 0.2474497
1000 0.3138 5 1.014311 0.6208032 0.2471583
%n density  glcalls lse TP FP 
2000 0.0614 5 0.9741398 0.7782101 0.1546985
2000 0.0614 5 1.019590 0.7081712 0.1600256
2000 0.0614 5 0.9959287 0.8015564 0.1600256
2000 0.0614 5 0.9819742 0.7431907 0.1598125
2000 0.0614 5 0.9858724 0.7470817 0.1536331
2000 0.0612 5 1.019842 0.71875 0.1525352
2000 0.0612 5 1.010096 0.765625 0.1627610
2000 0.0612 5 0.9902957 0.765625 0.1665957
2000 0.0612 5 0.9920342 0.734375 0.1597784
2000 0.0612 5 0.978412 0.7460938 0.1491265
2000 0.0616 5 0.9764247 0.7325581 0.1479113
2000 0.0616 5 0.992749 0.7790698 0.1498295
2000 0.0616 5 0.9993078 0.7286822 0.1504689
2000 0.0616 5 1.030480 0.7248062 0.1408781
2000 0.0616 5 0.9921274 0.7131783 0.1370418
2000 0.0614 5 1.000422 0.7120623 0.1512892
2000 0.0614 5 0.996641 0.7392996 0.1587471
2000 0.0614 5 1.014624 0.7587549 0.1461752
2000 0.0614 5 0.989588 0.7315175 0.1549116
2000 0.0614 5 1.006361 0.7198444 0.1625826
2000 0.0618 5 1.011433 0.7413127 0.1438926
2000 0.0618 5 1.022826 0.6949807 0.1447453
2000 0.0618 5 1.024640 0.7065637 0.1635046
2000 0.0618 5 1.019362 0.7644788 0.156683
2000 0.0618 5 1.002430 0.7413127 0.1560435
2000 0.2188 5 0.9968937 0.7605364 0.2785458
2000 0.2188 5 0.9713073 0.7643678 0.2752176
2000 0.2188 5 0.9771981 0.7461686 0.2695853
2000 0.2188 5 0.971335 0.77682 0.2775218
2000 0.2188 5 0.9916817 0.7528736 0.2803379
2000 0.2196 5 1.016764 0.7585878 0.2683239
2000 0.2196 5 0.9893583 0.7519084 0.2703742
2000 0.2196 5 1.002190 0.7576336 0.2593542
2000 0.2196 5 0.9801857 0.769084 0.275756
2000 0.2196 5 1.008684 0.7748092 0.2721681
2000 0.219 5 0.9440749 0.7425837 0.2663252
2000 0.219 5 0.9579043 0.7674641 0.2763124
2000 0.219 5 0.9854834 0.7368421 0.2729834
2000 0.219 5 0.9940519 0.7330144 0.2788732
2000 0.219 5 0.9728228 0.7578947 0.2683739
2000 0.2182 5 0.9746765 0.7944284 0.2844717
2000 0.2182 5 0.9969514 0.7732949 0.285495
2000 0.2182 5 0.9681995 0.7627281 0.2724482
2000 0.2182 5 0.9989672 0.778098 0.2806344
2000 0.2182 5 0.9790779 0.7973103 0.2721924
2000 0.2194 5 0.9813003 0.7745941 0.2943889
2000 0.2194 5 0.9878911 0.7659981 0.2828593
2000 0.2194 5 0.9974759 0.7449857 0.2623623
2000 0.2194 5 0.9919285 0.7449857 0.2759416
2000 0.2194 5 0.9742103 0.7793696 0.2954138
2000 0.3138 5 0.9649457 0.7623436 0.3646167
2000 0.3138 5 0.9799873 0.7926267 0.3678228
2000 0.3138 5 0.9645375 0.757077 0.3404255
2000 0.3138 5 0.9684582 0.7807768 0.3742349
2000 0.3138 5 0.9962288 0.7676103 0.3602448
2000 0.3146 5 0.9816384 0.7734734 0.3600817
2000 0.3146 5 0.9768058 0.7557452 0.3545375
2000 0.3146 5 0.989308 0.7688772 0.3554129
2000 0.3146 5 0.9775026 0.7721602 0.3586227
2000 0.3146 5 0.958749 0.764281 0.3562883
2000 0.3138 5 0.9845794 0.7827518 0.3755465
2000 0.3138 5 0.9928965 0.7623436 0.3375109
2000 0.3138 5 0.9712315 0.7899934 0.3754008
2000 0.3138 5 0.942566 0.7886768 0.3905567
2000 0.3138 5 0.95436 0.7623436 0.3351792
2000 0.3128 5 0.9606136 0.7760898 0.3521537
2000 0.3128 5 0.932409 0.7668428 0.3571013
2000 0.3128 5 0.9840662 0.7760898 0.3733993
2000 0.3128 5 0.9698797 0.7714663 0.3667055
2000 0.3128 5 0.9814804 0.7754293 0.3530268
2000 0.3138 5 0.958623 0.761027 0.3512096
2000 0.3138 5 0.9502287 0.7781435 0.3686972
2000 0.3138 5 0.9703737 0.7537854 0.344506
2000 0.3138 5 0.9669113 0.7636603 0.3631594
2000 0.3138 5 0.9749678 0.7702436 0.3584961
