%n density b lambda lse TP FP 
30 0.219 2000 10 1.569496 0.5990431 0.6043534
30 0.219 2000 10 1.498096 0.6191388 0.5980794
30 0.219 2000 9 1.474047 0.6057416 0.6037132
30 0.219 2000 12 1.492977 0.6258373 0.5975672
30 0.2182 2000 10 1.522548 0.6229587 0.5992581
30 0.2182 2000 10 1.536832 0.6066282 0.5996419
30 0.2182 2000 12 1.502216 0.6200768 0.6039908
30 0.2182 2000 12 1.499633 0.604707 0.6056536
30 0.2182 2000 12 1.544663 0.6023055 0.6030954
30 0.2194 2000 10 1.561320 0.6103152 0.6023572
30 0.2194 2000 11 1.534423 0.5883477 0.6115808
30 0.2194 2000 10 1.533837 0.6112703 0.6056879
30 0.2194 2000 10 1.496435 0.608405 0.6136305
30 0.2194 2000 9 1.595474 0.6150907 0.6155521
30 0.2188 1000 8 1.518179 0.5972222 0.6053507
30 0.2188 1000 9 1.552293 0.5842912 0.6061188
30 0.2188 1000 9 1.596209 0.6125479 0.6027906
30 0.2188 1000 9 1.559469 0.6345785 0.6029186
30 0.2188 1000 10 1.486402 0.5933908 0.6052227
30 0.2196 1000 7 1.523353 0.6273855 0.5905946
30 0.2196 1000 12 1.509925 0.6307252 0.6087904
30 0.2196 1000 8 1.520906 0.6044847 0.5961046
30 0.2196 1000 7 1.598536 0.6326336 0.5981548
30 0.2196 1000 7 1.527706 0.6140267 0.5959764
30 0.219 1000 12 1.583451 0.6076555 0.593726
30 0.219 1000 12 1.523447 0.6157895 0.6
30 0.219 1000 7 1.509765 0.6110048 0.5955186
30 0.219 1000 8 1.559865 0.631579 0.5996159
30 0.219 1000 7 1.468531 0.6009569 0.5982074
30 0.2182 1000 10 1.559141 0.5975024 0.5966999
30 0.2182 1000 10 1.493118 0.6133525 0.61077
30 0.2182 1000 7 1.477391 0.6080692 0.6075723
30 0.2182 1000 9 1.546043 0.6032661 0.5932464
30 0.2182 1000 12 1.564263 0.6191162 0.5958046
30 0.2194 1000 7 1.529538 0.5945559 0.6027415
30 0.2194 1000 7 1.516861 0.6146132 0.6100436
30 0.2194 1000 12 1.560399 0.6122254 0.5967205
30 0.2194 1000 7 1.493485 0.617001 0.5967205
30 0.2194 1000 6 1.566266 0.6074499 0.5969767
30 0.2188 200 12 1.486146 0.5579502 0.5236815
30 0.2188 200 14 1.409483 0.5450192 0.5345622
30 0.2188 200 10 1.519468 0.5502874 0.5427547
30 0.2188 200 10 1.496167 0.5622605 0.5385305
30 0.2188 200 11 1.438988 0.5565134 0.5422427
30 0.2196 200 12 1.481408 0.5839695 0.5408765
30 0.2196 200 11 1.507270 0.5458015 0.5375448
30 0.2196 200 13 1.473984 0.5811069 0.5317786
30 0.2196 200 14 1.498778 0.5653626 0.5293439
30 0.2196 200 10 1.456685 0.5424618 0.5240902
30 0.219 200 13 1.453690 0.5660287 0.5427657
30 0.219 200 13 1.500849 0.5655502 0.5413572
